code,단위 시스템,Jira 링크,기능,설명,담당자,개발 우선순위,와이어프레임 링크,기능명세,영역,디자인 수용여부,개발 수용여부,비고
PAGE-101,페이지,,메인페이지,"- 웹 사이트 클릭 시 제일 먼저 마이크 권한 허용 알림과 예/아니오 버튼 생성
= 예 클릭 시 메인 페이지 활성화(입장)
= 아니오 클릭 시 웹 사이트 종료 

= A(Audio)를 눌렀을 때 시각장애인용 회원가입페이지로 이동
= B(Big), C(Common)를 눌렀을 때 일반용 회원가입페이지로 이동
= S(Sharing)을 눌렀을 때 원격 공유 페이지로 이동",서해령,중요,,,,,,
PAGE-201(로그인페이지),페이지,,로그인페이지,"- 아이디/비밀번호 창
- 아이디/비밀번호 찾기
- 회원가입

= 로그인 버튼 클릭 시
→ DB에서 아이디, 비밀번호 맞는 지 확인
→ 사용자가 서브 화면(#3)으로 이동",강한솔,중요,,,,,,
PAGE-202,페이지,,아이디 찾기(시각장애인용),"= 아이디 찾기 버튼 클릭 시
→ 장애인 복지 카드로 OCR 인증 하면 아이디 알려주는 창을 띄우고 아이디를 음성으로 불러주기",강한솔,중요,,,,,,
PAGE-203,페이지,,"아이디 찾기(일반인용-B,C형)","- 본인 메일 입력 후 메일로 인증번호 전송
→ 인증번호 입력하면 본인아이디 뜸.

= 아이디 찾기 버튼 클릭 시 아이디 알려주는 창 띄우기(아이디 : 000000).",서해령,보통,,,,,,
PAGE-204,페이지,,비밀번호 찾기(시각장애인용),"- 비밀번호 변경 창
→ 비밀번호 변경(비밀번호 6자리) 입력(음성/키패드)
= 로그인 변경하기 클릭 시 DB에서 비밀번호 변경",강한솔,보통,,,,,,
PAGE-205,페이지,,"비밀번호 찾기(일반인용-B,C형)","- 비밀번호 찾기 창
→ 본인 이메일 입력 후 인증번호 인증
→ 인증완료 버튼 누른 후, 비밀번호 재설정

= DB에서 비밀번호 변경",서해령,보통,,,,,,
PAGE-301(회원가입페이지),페이지,,회원가입페이지(시각장애인용),"- 이름 : 실명 입력

- 아이디(중복 불가능/영문+숫자/공백 불가)
= 중복 확인 버튼 클릭 시 중복 확인 여부 확인

- 비밀번호(숫자 6자리)

- 간편 결제(결제 시 사용할 카드(카드번호, CVC 등)
→ 장애인 복지 카드(번호 등록)
- 인증 약관 전체 동의(선택/필수)

= 회원가입하기 버튼을 누르면 로그인 페이지로 이동",강한솔,중요,,,,,,
PAGE-302,페이지,,회원가입페이지(일반용),"- 이름
- 아이디(중복 불가능/영문+숫자/공백 불가)
- 비밀번호(비밀번호 일반형 8~12자리 영문+숫자 )
- 비밀번호 확인(재입력)
- 인증 약관 전체 동의(선택/필수)

= 회원가입하기 버튼을 누르면 로그인 페이지로 이동",서해령,보통,,,,,,
PAGE-401(마이페이지),페이지,,마이페이지,"앱 진입 시 ""OO님 안녕하세요, 배송 중인 상품이 1건 있습니다""와 같이 요약 정보 우선 송출",강한솔,중요,,등록 / 수정,메인 관리,,,
PAGE-402,페이지,,즐겨찾기(one-touch 재구매) / 찜한 상품,"최근 12개월 동안 2번 이상 구매한 상품 목록(즐겨찾기)
- 각 사이트에서 찜한(하트/별) 목록 불러오기",강한솔,중요,,,,,,
PAGE-403,페이지,,사이즈 정보(기억정보),"사용자 키, 몸무게, 평소 사이즈 저장 → 상품 상세페이지 진입 시 적합 사이즈(예: L) 자동 추천",강한솔,보통,,,,,,
PAGE-405,페이지,,배송/결제,"지문/비밀번호 앞 4자리 결제. 주소를 '우리집', '회사' 등 별칭으로 관리 및 음성 안내",강한솔,보통,,,,,,
PAGE-501(장바구니),페이지,,"플랫폼 통합 조회 ","각 판매처 장바구니 물품 목록 조회 / 각 플랫폼 마다 이동 링크 추가 ",강한솔,보통,,,,,,
PAGE-502,페이지,,선택적 구매,"특정 판매처별 구매(예: ""쿠팡 장바구니만 결제해줘"") 또는 개별 상품 선택/취소 제어",강한솔,보통,,,,,,
PAGE-503,페이지,,수량 조절,"음성 명령을 통해 상품 수량 변경 (예: ""물티슈 수량 2개로 늘려줘"")",강한솔,보통,,,,,,
PAGE-504,페이지,,전체 구매,모든 플랫폼의 장바구니 상품을 순차적으로 결제 프로세스에 진입,강한솔,보통,,,,,,
"PAGE-611
(음성버전)",페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",강한솔,보통,,상세,,,,
PAGE-612,페이지,,마이페이지,"- 회원 정보
- 즐겨찾기(찜한 상품)
- 구매내역(주문 배송 조회)
- 나의 취향 정보(알레르기, 사이즈 등)
- 장애인 등록증(복지카드 인증)

- 리뷰 내역(내가 쓴 후기) X
- 목소리 톤/속도 조절 X
- 고객센터(1:1 음성 문의) X",강한솔,보통,,목록,,,,
PAGE-621,페이지,,쇼핑사이트 선택,"- 네이버쇼핑, 쿠팡, 11번가, G마켓, 컬리 등 쇼핑사이트 선택
- 노랑/검정 대비로 쇼핑 사이트 버튼 생성(시각장애인 시야 인식 빠름)
- TTS로 쇼핑사이트 음성으로 인지.
- STT로 쇼핑사이트 선택 ",강한솔,보통,,상세,,,,
PAGE-622,페이지,,쇼핑사이트 화면,"- 공유 버튼 : Web RTC 실시간 화면 전송으로 함께 쇼핑.
- 화면 : MCP 서버로 연결된 쇼핑사이트 창 연결
- 장바구니 : 자사 사이트의 장바구니에 url로 DB 저장.",강한솔,보통,,상세,,,,
PAGE-623,페이지,,장바구니 화면,- 각 사이트 별 구분해서 자사사이트 물건 url 보여주기,강한솔,보통,,상세,,,,
PAGE-624,페이지,,결제창,"- 첫 결제 : 장애인 복지 카드로 인식
- 그 이후 모든 결제 : 간편 비밀번호(4자리)",강한솔,보통,,상세,,,,
"PAGE-711
(일반버전)",페이지,,회원가입 및 로그인,회원가입 및 로그인,서해령,보통,,등록 / 수정,,,,
PAGE-712,페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",서해령,보통,,상세,,,,
PAGE-713,페이지,,마이페이지,"- 위시리스트
- 자주찾는상품
- 나의 취향 정보(알레르기, 사이즈 등)",서해령,보통,,목록,,,,
PAGE-721,페이지,,쇼핑사이트 선택,"- 네이버쇼핑, 쿠팡, 11번가, G마켓, 컬리 등 쇼핑사이트 선택
- TTS로 쇼핑사이트 음성으로 인지.
- STT로 쇼핑사이트 선택 ",서해령,보통,,상세,,,,
PAGE-722,페이지,,쇼핑사이트 화면,"- 공유 버튼 : Web RTC 실시간 화면 전송으로 함께 쇼핑.
- 화면 : MCP 서버로 연결된 쇼핑사이트 창 연결
- 장바구니 : 자사 사이트의 장바구니에 바로 전달.",서해령,보통,,상세,,,,
PAGE-723,페이지,,장바구니 화면,"- 각 사이트 별 구분해서 자사사이트 물건 보여줌
- 수량 조절, 삭제 가능.",서해령,보통,,상세,,,,
PAGE-724,페이지,,결제창,일반 결제(간편비밀번호 음성 인식),서해령,보통,,상세,,,,
PAGE-801 (확대버전),페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",서해령,보통,,상세,,,,
PAGE-802,페이지,,마이페이지,"- 즐겨찾기(찜한 상품)
- 구매내역(주문 배송 조회)
- 나의 취향 정보(알레르기, 사이즈 등)",서해령,보통,,상세,,,,
PAGE-811,페이지,,쇼핑몰 선택,"- 네이버, 쿠팡 등 사이트 로고를 텍스트 버튼으로 대체
- 버튼 클릭 시 음성으로 사이트명 음성 안내 제공",서해령,보통,,상세,,,,
PAGE-812,페이지,,확대 쇼핑 뷰,"- 상품 이미지와 가격 정보를 화면의 80% 이상으로 확대
- 공유 코드 발급: 클릭 시 4자리 숫자를 크게 표시 및 TTS 안내",서해령,보통,,상세,,,,
PAGE-813,페이지,,통합 장바구니,"- 각 쇼핑몰의 물건을 한 리스트에 노출하되, 몰별 구분선을 굵게 표시

- 삭제/수량 조절 버튼을 한 화면에 최대 2개만 배치해 오클릭 방지",서해령,보통,,상세,,,,
PAGE-814,페이지,,간편결제,"- 화면 전체를 활용한 대형 4자리 숫자 패드 제공
- 각 쇼핑사이트 2차 결제 비밀번호 음성으로 인식
- 입력 시마다 큼직한 시각적 효과(깜빡임 등)와 음성 안내 병행",서해령,보통,,상세,,,,
PAGE-815,페이지,,포커스 가이드,"- 보호자가 일반 모드에서 특정 위치를 찍어주면, 해당 영역으로 자동 스크롤 및 외곽선 강조",서해령,중요,,,,,,
PAGE-816,페이지,,User 1:1 공유 화면(S형),"- user1의 공유화면을 user2가 함께 원격 제어.
- user1 의 음성대화 중 마지막 키워드 기준으로 관련 설명 간단 정리.
- user2 가 음성으로 남기면, text 변환해서 정리됨.",서해령,중요,,상세,,,,
MCP-01,MCP_app,,,"음성 녹음, V키 핫키로 마이크 녹음 시작/종료",김민찬,중요,,기능,,,,
MCP-02,MCP_app,,,"음성 재생, TTS 오디오 재생",김민찬,중요,,기능,,,,
MCP-03,MCP_app,,,"브라우저 실행, 앱 시작 시 Chrome CDP 활성화 실행",김재환,중요,,기능,,,,
MCP-04,MCP_app,,,"브라우저 제어, MCP 도구로 웹 페이지 조작",김재환,중요,,기능,,,,
MCP-05,MCP_app,,,"서버 통신, WebSocket으로 AI 서버와 실시간 통신",김민찬,중요,,기능,,,,
MCP-06,MCP_app,,,"세션 관리, 현재 작업 상태 추적",김민찬,중요,,기능,,,,
MCP-07,MCP_app,,,"상태 표시, 최소 UI로 현재 상태 표시",김민찬,중요,,기능,,,,
MCP-08,MCP_app,,,"테스트, 콘솔에서 직접 텍스트 입력하여 AI 서버로 전송",김재환,중요,,기능,,,,
MCP-09,MCP_app,,,WS 게이트웨이: 세션 생성/상태(status) 송수신/재연결 정책,김민찬,중요,,기능,,,,
AI-01,ASR,,,WebSocket으로 로컬의 audio_chunk 수신 및 버퍼링,김민찬,중요,,기능,,,,
AI-02,ASR,,,Faster-Whisper(turbo)로 실시간 ASR 처리(청크 단위),김민찬,중요,,기능,,,,
AI-03,ASR,,,ASR 결과를 asr_result로 스트리밍 반환,김민찬,중요,,기능,,,,
AI-04,LLM,,,의도 분석(Intent): 검색/비교/장바구니/결제 등 분류,김재환,중요,,기능,,,,
AI-05,LLM,,,텍스트 → Playwright MCP의 브라우저 실행용 tool_calls 생성,김재환,중요,,기능,,,,
AI-06,LLM,,,"쇼핑몰(쿠팡/네이버/11번가 등)별로 회원가입·결제 같은 복잡한 작업을 자동화하기 위해, 서버는 ‘플로우(step) 정의서’를 로딩한다.
각 step에는 (1) 실행할 MCP 액션, (2) 성공/실패 판정 기준(validation), (3) 실패 시 대체 동작 또는 사용자 안내(fallback)가 포함된다.",김재환,,,,,,,
AI-07,LLM,,,실행 결과 기반 다음 질문/확인 멘트 생성(대화형),김재환,,,,,,,
AI-08,LLM,,,“일반 명령 vs 회원가입/결제” 플로우 위임 판단,김재환,,,,,,,
AI-11,TTS,,,텍스트 → 음성 생성(TTS) 후 tts_chunk로 스트리밍 전송. 공급자/모델/파라미터는 단일로 고정해 환경 간 품질·지연 일관성 보장.,김민찬,,,기능,,,,
,TTS,,,,,,,,,,,
AI-09,OCR,,,CAPTCHA/키패드 영역 검출과 같이 결제 영역에서의 숫자 매핑 지원,하주형,,,기능,,,,
AI-10,OCR,,,상품 이미지에서 텍스트/시각 특징 추출(색/형태/라벨),하주형,,,기능,,,,
,,결제전 OCR이후 정보 제공등 복합 단위일 수 있어서 추가로 고려후 단위시스템 지정 필요,,결제/회원가입 전 최종 확인 단계 강제 삽입,,,,,,,,
,,세션 위치와 저장방식등이 어디인지 잘몰라서 추가로 단위시스템 지정 필요,,세션 상태 저장(사이트/진행단계/검색기록) + 대명사 참조,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,